type;varietal;food
Sparkling Wine;Sparkling Wine;Cheese Puffs
Red Wine;Pinot Noir;Cheese Puffs
Dessert Wine;Macon-Villages;Cheese Puffs
Beer;Lager;Cheese Puffs
White Wine;Chardonnay;Cheese Puffs
Sparkling Wine;Champagne, Brut;Cheese Puffs
Sparkling Wine;Champagne, Blanc de blancs;Cheese Puffs
White Wine;Chablis;Cheese Puffs
White Wine;Burgundy, White;Cheese Puffs
Red Wine;Burgundy, Red;Cheese Puffs
Sparkling Wine;Sparkling Wine;Cheese Fondue
White Wine;Sauvignon Blanc;Cheese Fondue
White Wine;Riesling, Alsace;Cheese Fondue
Red Wine;Pinot Noir;Cheese Fondue
Beer;Oktoberfest Marzen;Cheese Fondue
White Wine;Muscat;Cheese Fondue
Beer;Dunkel/Dunkles;Cheese Fondue
Red Wine;Dolcetto;Cheese Fondue
White Wine;Chenin Blanc, Dry;Cheese Fondue
White Wine;Chardonnay, Unoaked;Cheese Fondue
Sparkling Wine;Champagne;Cheese Fondue
Red Wine;Cotes du Rhone, Red;Cheese Fondue
White Wine;Burgundy, White;Cheese Fondue
Beer;Biere De Garde;Cheese Fondue
Red Wine;Pinot Noir;Cheese Dishes
White Wine;Chardonnay;Cheese Dishes
White Wine;White Wine;Cheese
White Wine;Viognier;Cheese
Sherry;Sherry, Sweet;Cheese
White Wine;Sauvignon Blanc;Cheese
White Wine;Riesling;Cheese
Port;Port;Cheese
Sparkling Wine;Moscato d'Asti;Cheese
Other;Mead;Cheese
White Wine;Gewurztraminer, Alsace;Cheese
Juice;Cider, Non Alcoholic;Cheese
Beer;Beer;Cheese
Red Wine;Zinfandel;Cheddar Cheese
Red Wine;Syrah;Cheddar Cheese
Red Wine;Shiraz;Cheddar Cheese
Sherry;Sherry;Cheddar Cheese
White Wine;Sauvignon Blanc;Cheddar Cheese
Other;Rioja, Red or White;Cheddar Cheese
Red Wine;Rioja, Red;Cheddar Cheese
Red Wine;Rhone, Red Wine;Cheddar Cheese
Red Wine;Red Wine;Cheddar Cheese
Port;Port, Vintage;Cheddar Cheese
Port;Port, Ruby;Cheddar Cheese
Red Wine;Pinot Noir;Cheddar Cheese
Red Wine;Pinot Noir;Cheddar Cheese
Red Wine;Merlot;Cheddar Cheese
Beer;India Pale Ale - IPA;Cheddar Cheese
White Wine;Gewurztraminer;Cheddar Cheese
Beer;English Brown Ale;Cheddar Cheese
White Wine;Clairette Blanche;Cheddar Cheese
Beer;Cider, Hard;Cheddar Cheese
White Wine;Chardonnay;Cheddar Cheese
Sparkling Wine;Champagne;Cheddar Cheese
Red Wine;Cabernet Sauvignon;Cheddar Cheese
Red Wine;Bordeaux AOC Red;Cheddar Cheese
Red Wine;Amarone;Cheddar Cheese
White Wine;Sancerre;Chavignol Cheese
White Wine;Macon, White;Chavignol Cheese
Red Wine;Pinot Noir;Chaumes Cheese
Red Wine;Madiran AOC;Chaumes Cheese
White Wine;Burgundy, White;Chaumes Cheese
White Wine;Macon, White;Charolais Cheese
White Wine;White Wine;Charcuterie
White Wine;Vouvray;Charcuterie
Sherry;Sherry, Manzanilla;Charcuterie
Sherry;Sherry, Fino;Charcuterie
Sherry;Sherry, Amontillado;Charcuterie
White Wine;Sauvignon Blanc;Charcuterie
White Wine;Sancerre;Charcuterie
Rose;Rose;Charcuterie
White Wine;Riesling, Alsace;Charcuterie
Red Wine;Red Wine;Charcuterie
White Wine;Pinot Gris;Charcuterie
Beer;Pale Ale;Charcuterie
Beer;Oktoberfest Marzen;Charcuterie
White Wine;Muscadet;Charcuterie
Red Wine;Merlot;Charcuterie
Beer;Marzenbier;Charcuterie
Beer;India Pale Ale - IPA;Charcuterie
White Wine;Gewurztraminer;Charcuterie
Beer;Dubbel;Charcuterie
Red Wine;Dolcetto;Charcuterie
White Wine;Chenin Blanc;Charcuterie
Other;Cotes du Rhone, Red/White;Charcuterie
White Wine;Burgundy, White;Charcuterie
Beer;Biere De Garde;Charcuterie
Beer;Belgian Pale Ale;Charcuterie
Red Wine;Beaujolais, Cru;Charcuterie
Red Wine;Beaujolais, Cru;Charcuterie
Red Wine;Barbera DOC;Charcuterie
White Wine;Aligote;Charcuterie
Red Wine;Cornas AOC;Chaource Cheese
Sparkling Wine;Champagne, Blanc de Noirs;Chaource Cheese
White Wine;Chablis;Chaource Cheese
White Wine;Riesling;Chanterelle Mushrooms
White Wine;Vinho Verde;Ceviche
White Wine;Verdicchio;Ceviche
Sparkling Wine;Sparkling Wine;Ceviche
Sherry;Sherry, Manzanilla;Ceviche
White Wine;Sauvignon Blanc;Ceviche
White Wine;Sancerre;Ceviche
Beer;Sake;Ceviche
White Wine;Riesling;Ceviche
White Wine;Pinot Gris;Ceviche
White Wine;Muscadet;Ceviche
White Wine;Gruner Veltliner;Ceviche
White Wine;Gewurztraminer;Ceviche
White Wine;Chenin Blanc;Ceviche
Sparkling Wine;Champagne;Ceviche
White Wine;Chablis;Ceviche
Beer;Beer;Ceviche
White Wine;Albarino;Ceviche
White Wine;Sancerre;Celery Root
White Wine;Riesling;Celery Root
White Wine;Sauvignon Blanc;Celery
Liquor;Vodka;Caviar
Liquor;Vermouth;Caviar
White Wine;Txakoli;Caviar
White Wine;Tokaji;Caviar
Sparkling Wine;Sparkling Wine, Dry;Caviar
Beer;Sake;Caviar
White Wine;Pinot Gris, Alsace;Caviar
Beer;Pilsner;Caviar
Beer;Light;Caviar
Other;Lemon Based Drinks;Caviar
White Wine;Chardonnay;Caviar
Sparkling Wine;Champagne, Blanc de blancs;Caviar
Other;Aquavit;Caviar
Red Wine;Cahors AOC;Caussedou
White Wine;Riesling;Cauliflower
White Wine;Riesling;Cauliflower
White Wine;Pinot Gris;Cauliflower
Juice;Lemon Based Drinks;Cauliflower
White Wine;Gewurztraminer, Alsace;Cauliflower
White Wine;Chenin Blanc;Cauliflower
Red Wine;Cabernet Sauvignon;Cauliflower
Sparkling Wine;Sparkling Wine;Catfish
White Wine;Sancerre;Catfish
White Wine;Riesling;Catfish
White Wine;Pouilly Fume;Catfish
White Wine;Pouilly Fume;Catfish
White Wine;Pinot Gris;Catfish
White Wine;Pinot Blanc Alsace;Catfish
White Wine;Muscadet;Catfish
White Wine;Lambrusco;Catfish
Pop;Iced Tea;Catfish
White Wine;Gewurztraminer;Catfish
White Wine;Chablis;Catfish
Beer;Beer;Catfish
Red Wine;Beaujolais;Catfish
Red Wine;Barolo;Castelmagno Cheese
Red Wine;Barbaresco DOCG;Castelmagno Cheese
Red Wine;Zinfandel;Cassoulet
Red Wine;Syrah;Cassoulet
Red Wine;Shiraz;Cassoulet
Rose;Rose;Cassoulet
Red Wine;Rhone, Red Wine;Cassoulet
Red Wine;Madiran AOC;Cassoulet
Other;French;Cassoulet
Beer;Dubbel;Cassoulet
Beer;Doppelbock;Cassoulet
Red Wine;Cahors AOC;Cassoulet
Beer;Biere De Garde;Cassoulet
Red Wine;Barbera DOC;Cassoulet
Sparkling Wine;Prosecco;Cashews
Red Wine;Pinot Noir;Cashews
Red Wine;Pinot Noir;Cascabel Chilie
Beer;Wheat Beer;Carrots
White Wine;Viognier;Carrots
White Wine;Soave Superiore Classico;Carrots
White Wine;Semillon;Carrots
White Wine;Sauvignon Blanc;Carrots
White Wine;Riesling;Carrots
Liquor;Madeira based Cocktails;Carrots
Juice;Lemon Based Drinks;Carrots
White Wine;Gruner Veltliner;Carrots
Pop;Gingerale;Carrots
Red Wine;Dolcetto;Carrots
Juice;Cider, Non Alcoholic;Carrots
White Wine;Chardonnay;Carrots
White Wine;Chablis;Carrots
Red Wine;Cotes du Rhone, Red;Carrots
Dessert Wine;Tokaji;Carrot Cake
White Wine;Muscat;Carrot Cake
Red Wine;Valpolicella;Carpaccio
Red Wine;Sangiovese;Carpaccio
Rose;Rose;Carpaccio
Sparkling Wine;Prosecco;Carpaccio
Red Wine;Merlot;Carpaccio
Red Wine;Dolcetto;Carpaccio
Red Wine;Chianti Classico DOCG;Carpaccio
Sparkling Wine;Champagne, Rose;Carpaccio
Red Wine;Barbera DOC;Carpaccio
Red Wine;Zinfandel;Caribbean Cusine
White Wine;Weissburgunder;Caribbean Cusine
Sparkling Wine;Sparkling Wine;Caribbean Cusine
White Wine;Sauvignon Blanc;Caribbean Cusine
Beer;Saison;Caribbean Cusine
Liquor;Rum and Rum Based Drinks;Caribbean Cusine
Other;Rioja, Red or White;Caribbean Cusine
Beer;Red Stripe;Caribbean Cusine
Beer;Pilsner;Caribbean Cusine
Beer;Irish Stout;Caribbean Cusine
Pop;Ginger Beer;Caribbean Cusine
White Wine;Gewurztraminer;Caribbean Cusine
Juice;Fruit Juice;Caribbean Cusine
Red Wine;Cabernet Sauvignon;Caribbean Cusine
Beer;Beer;Caribbean Cusine
Beer;American Pale Ale;Caribbean Cusine
Red Wine;Syrah;Caraway Seeds
Red Wine;Shiraz;Caraway Seeds
White Wine;Sauvignon Blanc;Caraway Seeds
White Wine;Riesling;Caraway Seeds
Red Wine;Pinot Noir;Caraway Seeds
Red Wine;Merlot;Caraway Seeds
White Wine;Gewurztraminer;Caraway Seeds
Sherry;Sherry, PX;Caramel
Dessert Wine;Sauternes;Caramel
White Wine;Riesling;Caramel
Port;Port, Tawny;Caramel
Dessert Wine;Muscat de Beaumes-de-Venise;Caramel
Dessert Wine;Madeira, Malmsey;Caramel
Coffee;Guatamalan Antigua;Caramel
Coffee;Dark Roasted;Caramel
Sparkling Wine;Champagne;Caramel
Sparkling Wine;Prosecco;Caprese Salad
Red Wine;Dolcetto d'Alba Superiore DOC;Capon with Walnuts
Red Wine;Dolcetto d'Alba DOC;Capon with Walnuts
White Wine;Sauvignon Blanc;Capers
White Wine;Sancerre;Capers
Rose;Rose;Capers
Red Wine;Pinot Noir;Capers
White Wine;Pinot Gris;Capers
White Wine;Muscadet;Capers
Beer;Beer;Capers
Red Wine;Beaujolais;Capers
White Wine;Riesling;Cantonese Food
White Wine;Riesling;Cantonese Food
White Wine;Riesling;Cantaloupe
White Wine;Chenin Blanc;Cantaloupe
Sparkling Wine;Champagne, Dry;Cantaloupe
Dessert Wine;Banyuls;Cantaloupe
Sparkling Wine;Asti Frizzante, (DOCG);Cantaloupe
White Wine;Pouilly Fuisse;Cantal Cheese
White Wine;Pomerol;Cantal Cheese
White Wine;Chardonnay;Cantal Cheese
Sparkling Wine;Champagne;Cantal Cheese
Red Wine;Cotes d'Auvergne, Red;Cantal Cheese
Red Wine;Burgundy, Red;Cantal Cheese
Red Wine;Beaujolais;Cantal Cheese
Red Wine;Red Wine;Cantabria Cheese
Dessert Wine;Moscato d'Asti;Cannoli
Coffee;Medium Roasted;Cannoli
Red Wine;Sangiovese;Cannelloni
Red Wine;Montepulciano;Cannelloni
Red Wine;Frascati;Cannelloni
Red Wine;Dolcetto;Cannelloni
Red Wine;Chianti DOCG;Cannelloni
White Wine;Sparkling Wine, Dry;Camembert Cheese
Sparkling Wine;Sparkling Wine;Camembert Cheese
White Wine;Sauvignon Blanc;Camembert Cheese
Beer;Sake;Camembert Cheese
White Wine;Riesling;Camembert Cheese
White Wine;Pouilly Fume;Camembert Cheese
Red Wine;Pinot Noir;Camembert Cheese
Beer;Pilsner;Camembert Cheese
Red Wine;Merlot;Camembert Cheese
Red Wine;Medoc;Camembert Cheese
Juice;Cider, Non Alcoholic;Camembert Cheese
White Wine;Chenin Blanc;Camembert Cheese
White Wine;Chardonnay;Camembert Cheese
Sparkling Wine;Champagne, Brut;Camembert Cheese
Red Wine;Chateauneuf du Pape, Red;Camembert Cheese
Liquor;Calvados, Basse-Normandie;Camembert Cheese
Red Wine;Cabernet Sauvignon;Camembert Cheese
Red Wine;Cabernet Franc;Camembert Cheese
Red Wine;Burgundy, Red;Camembert Cheese
Red Wine;Bordeaux AOC Red;Camembert Cheese
Red Wine;Beaujolais;Camembert Cheese
Red Wine;Syrah;Calzone
Red Wine;Shiraz;Calzone
Red Wine;Lambrusco;Calzone
Sparkling Wine;Sparkling Wine;Calamari
White Wine;Sauvignon Blanc;Calamari
Beer;Saison;Calamari
White Wine;Riesling;Calamari
White Wine;Pinot Grigio;Calamari
Beer;Pilsner;Calamari
Beer;Kolsch;Calamari
Beer;Helles;Calamari
White Wine;Greco di Tufo, White;Calamari
White Wine;Chardonnay;Calamari
Beer;American India Pale Ale;Calamari
Beer;Amber Lager;Calamari
White Wine;Albarino;Calamari
Sparkling Wine;Vouvray Sparkling White Wine;Cake
Dessert Wine;Vin Santo;Cake
Dessert Wine;Tokaji;Cake
Tea;Tea;Cake
Sparkling Wine;Sparkling Wine, Demi-Sec;Cake
Sherry;Sherry, Cream;Cake
Dessert Wine;Sauternes;Cake
Dessert Wine;Riesling, Late Harvest;Cake
White Wine;Riesling;Cake
Port;Port, Tawny;Cake
Dessert Wine;Muscat, Sweet;Cake
Sparkling Wine;Moscato d'Asti;Cake
Dairy;Milk;Cake
Dessert Wine;Marsala;Cake
Dessert Wine;Madeira, Malmsey;Cake
Dessert Wine;Madeira, Bual;Cake
Dessert Wine;Ice Wine;Cake
Coffee;Coffee;Cake
Sparkling Wine;Champagne, Extra Dry;Cake
Sparkling Wine;Asti Frizzante, (DOCG);Cake
Beer;Wheat Beer;Cajun Cuisine
Beer;Schwarzbier;Cajun Cuisine
White Wine;Sauvignon Blanc;Cajun Cuisine
Beer;Saison;Cajun Cuisine
White Wine;Riesling;Cajun Cuisine
Beer;Pilsner;Cajun Cuisine
White Wine;Gewurztraminer, Alsace;Cajun Cuisine
Beer;Dunkel/Dunkles;Cajun Cuisine
Beer;Beer;Cajun Cuisine
Beer;American Pale Ale;Cajun Cuisine
Beer;American Brown Ale;Cajun Cuisine
Beer;Witbier/Belgian White Beer;Caesar Salad
Beer;Wheat Beer;Caesar Salad
Beer;Weisse/Weissbier;Caesar Salad
White Wine;Sauvignon Blanc;Caesar Salad
White Wine;Sancerre;Caesar Salad
White Wine;Riesling;Caesar Salad
White Wine;Pouilly Fume;Caesar Salad
Beer;Kolsch;Caesar Salad
White Wine;Chardonnay;Caesar Salad
White Wine;Chablis;Caesar Salad
Red Wine;Beaujolais;Caesar Salad
White Wine;Arneis;Caesar Salad
Beer;American Brown Ale;Caesar Salad
Sparkling Wine;Sparkling Wine;Cabrales Cheese
Sherry;Sherry, Sweet;Cabrales Cheese
Sherry;Sherry, Manzanilla;Cabrales Cheese
Other;Rioja, Red or White;Cabrales Cheese
Sparkling Wine;Cava;Cabrales Cheese
Red Wine;Bordeaux AOC Red;Cabrales Cheese
Red Wine;Zinfandel;Cabbage Rolls
Red Wine;Pinot Noir;Cabbage Rolls
Red Wine;Malbec;Cabbage Rolls
White Wine;White Wine;Cabbage
Beer;Wheat Beer;Cabbage
White Wine;Sauvignon Blanc;Cabbage
White Wine;Riesling;Cabbage
Fortified Wine;Madeira based Cocktails;Cabbage
Beer;Light;Cabbage
White Wine;Gewurztraminer, Alsace;Cabbage
Red Wine;Cabernet Franc;Cabbage
White Wine;Jurancon, Dry AOC;Cabecou
White Wine;Bergerac, White;Cabecou
Coffee;Dark Roasted;Butterscotch
White Wine;Viognier;Butternut Squash Soup
White Wine;Verdelho;Butternut Squash Soup
Sherry;Sherry, Amontillado;Butternut Squash Soup
White Wine;Semillon;Butternut Squash Soup
White Wine;Riesling;Butternut Squash Soup
White Wine;Pinot Gris;Butternut Squash Soup
White Wine;Gruner Veltliner;Butternut Squash Soup
White Wine;Gewurztraminer;Butternut Squash Soup
White Wine;Gavi/Cortese di Gavi (DOCG);Butternut Squash Soup
White Wine;Chardonnay;Butternut Squash Soup
White Wine;Viognier;Butter Sauce
White Wine;Chardonnay;Butter Sauce
White Wine;Chardonnay;Butter Sauce
Sparkling Wine;Champagne;Butter Sauce
White Wine;Burgundy, White;Butter Sauce
White Wine;Viognier;Butter
White Wine;Chardonnay;Butter
White Wine;Chardonnay;Butter
Sparkling Wine;Champagne;Butter
White Wine;Burgundy, White;Butter
Sparkling Wine;Champagne, Rose;Burrata Cheese
Beer;Beer;Burrata Cheese
Red Wine;Zinfandel;Buffalo Chicken Wings
Rose;Rose;Buffalo Chicken Wings
Sparkling Wine;Champagne, Rose;Buffalo Chicken Wings
Beer;Beer;Buffalo Chicken Wings
Beer;Ale, Very Hoppy;Buffalo Chicken Wings
White Wine;Sauvignon Blanc;Brussels Sprouts
Red Wine;Zinfandel;Bruschetta
Beer;Wheat Beer;Bruschetta
White Wine;Sauvignon Blanc;Bruschetta
White Wine;Riesling;Bruschetta
Beer;Pilsner;Bruschetta
Red Wine;Chianti DOCG;Bruschetta
Red Wine;Barbera DOC;Bruschetta
Beer;Wheat Beer;Brunch
Tea;Tea, Yunnan, China;Brunch
Tea;Tea, Smoked Black;Brunch
Tea;Tea, Lapsang Souchong, Wuyi, China;Brunch
Tea;Tea, Darjeeling;Brunch
Tea;Tea, Ceylon;Brunch
Tea;Tea, Black;Brunch
Tea;Tea, Assam, India;Brunch
Sparkling Wine;Sparkling Wine;Brunch
White Wine;Sancerre;Brunch
Juice;Orange Juice;Brunch
Juice;Lemonade;Brunch
Tea;Iced Tea;Brunch
Sparkling Wine;Greco di Tufo, Spumante;Brunch
Juice;Grapefruit Juice;Brunch
Juice;Fruit Juice;Brunch
Coffee;Coffee;Brunch
Sparkling Wine;Champagne;Brunch
Liquor;Bloody Mary;Brunch
Red Wine;Beaujolais;Brunch
Beer;Stout;Brownies
Sherry;Sherry, PX;Brownies
Beer;Porter;Brownies
Port;Port;Brownies
Dessert Wine;Muscat;Brownies
Coffee;Medium Roasted;Brownies
Beer;Imperial Stout;Brownies
Dessert Wine;Guatamalan Antigua;Brownies
Coffee;Dark Roasted;Brownies
Liquor;Bourbon and Bourbon Cocktails;Brownies
Dessert Wine;Banyuls;Brownies
Dessert Wine;Sauternes;Brown Sugar
White Wine;Riesling;Brown Sugar
Sparkling Wine;Sparkling Wine;Broiled Lobster
White Wine;Savennieres;Broiled Lobster
White Wine;Sancerre;Broiled Lobster
White Wine;Meursault;Broiled Lobster
White Wine;Gewurztraminer;Broiled Lobster
White Wine;Chardonnay;Broiled Lobster
Sparkling Wine;Champagne;Broiled Lobster
White Wine;Burgundy, White;Broiled Lobster
White Wine;Sancerre;Broiled Fish
White Wine;Riesling, Alsace;Broiled Fish
White Wine;Muscadet;Broiled Fish
White Wine;Sauvignon Blanc;Broccoli Soup
White Wine;Chardonnay;Broccoli Soup
White Wine;Sauvignon Blanc;Broccoli Salad
White Wine;Chardonnay;Broccoli Salad
White Wine;White Wine, Italian;Broccoli Rabe
White Wine;Sauvignon Blanc;Broccoli Rabe
White Wine;Riesling;Broccoli Rabe
Red Wine;Red Wine;Broccoli Rabe
White Wine;Sauvignon Blanc;Broccoli
Juice;Lemon Based Drinks;Broccoli
White Wine;Chardonnay;Broccoli
Beer;Beer;British Cheese
Beer;Ale;British Cheese
White Wine;Riesling, Alsace;Brin D'Amour Cheese
Sparkling Wine;Champagne, Rose;Brin D'Amour Cheese
White Wine;Burgundy, White;Brin D'Amour Cheese
Red Wine;Cornas AOC;Brillat Savarin Cheese
Sparkling Wine;Champagne;Brillat Savarin Cheese
Red Wine;Bordeaux AOC Red;Brillat Savarin Cheese
Beer;Stout;Brie De Meaux Cheese
Sparkling Wine;Champagne;Brie De Meaux Cheese
White Wine;Burgundy, White;Brie De Meaux Cheese
Red Wine;Burgundy, Red;Brie De Meaux Cheese
Sparkling Wine;Sparkling Wine;Brie Cheese
Sherry;Sherry, Sweet;Brie Cheese
White Wine;Sauvignon Blanc;Brie Cheese
White Wine;Riesling;Brie Cheese
White Wine;Pouilly Fume;Brie Cheese
Red Wine;Pinot Noir;Brie Cheese
White Wine;Chardonnay;Brie Cheese
Sparkling Wine;Champagne, Rose;Brie Cheese
Sparkling Wine;Champagne, Blanc de blancs;Brie Cheese
Red Wine;Cabernet Sauvignon;Brie Cheese
Red Wine;Bordeaux AOC Red;Brie Cheese
Beer;Beer;Brie Cheese
Red Wine;Beaujolais;Brie Cheese
White Wine;Sauvignon Blanc;Brick Cheese
White Wine;Riesling;Brick Cheese
White Wine;Pinot Grigio;Brick Cheese
White Wine;Chardonnay;Brick Cheese
Beer;Wheat Beer;Breakfast
Tea;Tea, Yunnan, China;Breakfast
Tea;Tea, Smoked Black;Breakfast
Tea;Tea, Lapsang Souchong, Wuyi, China;Breakfast
Tea;Tea, Darjeeling;Breakfast
Tea;Tea, Ceylon;Breakfast
Tea;Tea, Black;Breakfast
Tea;Tea, Assam, India;Breakfast
Sparkling Wine;Sparkling Wine;Breakfast
Juice;Orange Juice;Breakfast
White Wine;Moscato d'Asti;Breakfast
Juice;Lemonade;Breakfast
Tea;Iced Tea;Breakfast
Sparkling Wine;Greco di Tufo, Spumante;Breakfast
Juice;Grapefruit Juice;Breakfast
Juice;Fruit Juice;Breakfast
Coffee;Coffee;Breakfast
Sparkling Wine;Champagne;Breakfast
Liquor;Bloody Mary;Breakfast
Red Wine;Beaujolais;Breakfast
Tea;Tea;Bread Toasted for Breakfast
Tea;Oolong;Bread Toasted for Breakfast
Tea;Tea;Bread Toasted
Tea;Oolong;Bread Toasted
Dessert Wine;Vin Santo;Bread Pudding
Dessert Wine;Tokaji;Bread Pudding
Sherry;Sherry, Sweet;Bread Pudding
Sherry;Sherry;Bread Pudding
Dessert Wine;Sauternes;Bread Pudding
Dessert Wine;Riesling, Late Harvest;Bread Pudding
White Wine;Riesling;Bread Pudding
Port;Port;Bread Pudding
Dessert Wine;Muscat, Orange;Bread Pudding
Fortified Wine;Madeira;Bread Pudding
Dessert Wine;Late Harvest Wines;Bread Pudding
Dessert Wine;Ice Wine;Bread Pudding
White Wine;Chardonnay;Bread
Beer;Beer;Bread
Beer;Ale;Bread
Red Wine;Zinfandel;Bratwurst Sausage
Beer;Pilsner;Bratwurst Sausage
Beer;Doppelbock;Bratwurst Sausage
Beer;Beer;Bratwurst Sausage
White Wine;Verdicchio;Brandade
White Wine;Sauvignon Blanc;Brandade
White Wine;Sancerre;Brandade
Rose;Rose;Brandade
White Wine;Pinot Gris;Brandade
White Wine;Pinot Grigio;Brandade
White Wine;Chablis, Cru;Brandade
White Wine;Albarino;Brandade
Red Wine;Cornas AOC;Braised Lamb Shoulder
Red Wine;Syrah;Braised Lamb
Red Wine;Shiraz;Braised Lamb
Red Wine;Rioja, Red;Braised Lamb
Red Wine;Malbec;Braised Lamb
Red Wine;Hermitage, Red;Braised Lamb
Red Wine;Gigondas;Braised Lamb
Red Wine;Amarone;Braised Lamb
Red Wine;Syrah;Braised Duck
Red Wine;Barbera DOC;Braised Duck
Red Wine;Zinfandel;Braised Dishes
Red Wine;Syrah;Braised Dishes
Red Wine;Shiraz;Braised Dishes
Sparkling Wine;Champagne, Rose;Braised Dishes
Red Wine;Cabernet Sauvignon;Braised Dishes
Beer;Beer;Braised Dishes
White Wine;Sancerre;Boursin Cheese
White Wine;Gewurztraminer;Boursin Cheese
Rose;Tavel;Bouillabaisse
Sparkling Wine;Sparkling Wine, Rose;Bouillabaisse
Sherry;Sherry;Bouillabaisse
White Wine;Semillon;Bouillabaisse
White Wine;Sauvignon Blanc;Bouillabaisse
Rose;Rose;Bouillabaisse
White Wine;Riesling;Bouillabaisse
White Wine;Chardonnay;Bouillabaisse
Sparkling Wine;Champagne, Rose;Bouillabaisse
White Wine;Burgundy, White;Bouillabaisse
White Wine;Bordeaux AOC White;Bouillabaisse
White Wine;Bandol, White AOC;Bouillabaisse
Liquor;Vodka;Borscht
White Wine;Sauvignon Blanc;Borscht
Beer;Pilsner;Borscht
Red Wine;Merlot;Borscht
White Wine;White Wine;Boiled Dishes
Liquor;Whiskey and Whiskey Based Drinks;Boernkaas Cheese
Liquor;Gin Based Drinks;Boernkaas Cheese
Liquor;Calvados, Basse-Normandie;Boernkaas Cheese
Liquor;Bourbon and Bourbon Cocktails;Boernkaas Cheese
White Wine;White Wine, Italian;Bluefish
Red Wine;Volnay, Red;Bluefish
White Wine;Sauvignon Blanc;Bluefish
Red Wine;Pinot Noir;Bluefish
White Wine;Hermitage, White;Bluefish
Red Wine;Grenache;Bluefish
White Wine;Gewurztraminer;Bluefish
Red Wine;Gamay;Bluefish
White Wine;Chardonnay;Bluefish
White Wine;Chardonnay;Bluefish
White Wine;Chardonnay;Bluefish
White Wine;Burgundy, White;Bluefish
White Wine;Bordeaux AOC White;Bluefish
Dessert Wine;Vouvray Sweet Viscous White Wine;Blueberries
Sparkling Wine;Sparkling Wine;Blueberries
Dessert Wine;Riesling, Late Harvest;Blueberries
White Wine;Riesling;Blueberries
White Wine;Riesling;Blueberries
Port;Port;Blueberries
Juice;Peach Based Drinks;Blueberries
Dessert Wine;Muscat, Sweet;Blueberries
Dessert Wine;Muscat, Orange;Blueberries
Dessert Wine;Muscat, Off-Dry;Blueberries
Dessert Wine;Muscat de Beaumes-de-Venise;Blueberries
Juice;Lime Based Drinks;Blueberries
Juice;Lemon Based Drinks;Blueberries
Dessert Wine;Late Harvest Wines;Blueberries
Dessert Wine;Ice Wine;Blueberries
Liquor;Grand Marnier and Grand Marnier Cocktails;Blueberries
Tea;Ethiopian Harrar;Blueberries
Liquor;Cointreau and Cointreau Cocktails;Blueberries
Liquor;Cognac and Cognac Cocktails;Blueberries
Sparkling Wine;Champagne;Blueberries
Red Wine;Brachetto;Blueberries
Liquor;Bourbon and Bourbon Cocktails;Blueberries
Sparkling Wine;Asti Spumante, (DOCG);Blueberries
Red Wine;Zinfandel;Blue Cheese
Sparkling Wine;Sparkling Wine;Blue Cheese
Sherry;Sherry;Blue Cheese
Dessert Wine;Sauternes;Blue Cheese
Other;Sake;Blue Cheese
Red Wine;Ripasso Valpolicella;Blue Cheese
Port;Port, Vintage;Blue Cheese
Port;Port, Tawny;Blue Cheese
White Wine;Muscat;Blue Cheese
Dessert Wine;Moscato d'Asti;Blue Cheese
Red Wine;Merlot;Blue Cheese
Other;Mead;Blue Cheese
Fortified Wine;Madeira;Blue Cheese
Dessert Wine;Ice Wine;Blue Cheese
Red Wine;Cabernet Sauvignon;Blue Cheese
Red Wine;Cabernet Sauvignon;Blue Cheese
Red Wine;Brunello di Montalcino (DOCG);Blue Cheese
Dessert Wine;Banyuls;Blue Cheese
Rose;Rose;BLT
Red Wine;Pinot Noir;BLT
White Wine;Pinot Grigio;BLT
White Wine;Gruner Veltliner;BLT
Red Wine;Chianti DOCG;BLT
White Wine;Chardonnay;BLT
Beer;Beer;BLT
Red Wine;Beaujolais;BLT
Liquor;Vodka;Blini with Caviar or Smoked Salmon
Sparkling Wine;Champagne, Blanc de blancs;Blini with Caviar or Smoked Salmon
Dessert Wine;Sauternes;Bleu D'Auvergne Cheese
Red Wine;Monbazillac;Bleu D'Auvergne Cheese
Red Wine;Madiran AOC;Bleu D'Auvergne Cheese
Red Wine;Cahors AOC;Bleu D'Auvergne Cheese
Red Wine;Bordeaux AOC Red;Bleu D'Auvergne Cheese
White Wine;Sauvignon Blanc;Blackened Fish
Red Wine;Pinot Noir;Blackened Fish
White Wine;Pinot Blanc;Blackened Fish
White Wine;Chenin Blanc;Blackened Fish
White Wine;Chardonnay;Blackened Fish
Beer;Beer;Blackened Fish
Tea;Tea, Bai Hao Oolong;Blackberries
White Wine;Riesling, Late Harvest;Blackberries
White Wine;Riesling;Blackberries
White Wine;Riesling;Blackberries
Port;Port, Ruby;Blackberries
Dessert Wine;Muscat, Black;Blackberries
Dessert Wine;Muscat de Beaumes-de-Venise;Blackberries
Other;Maury, Roussillon (Northern Catalonia);Blackberries
Coffee;Coffee, Kenya;Blackberries
Other;Brachetto;Blackberries
Red Wine;Zinfandel;Black Pepper
Red Wine;Syrah;Black Pepper
Red Wine;Shiraz;Black Pepper
Red Wine;Sangiovese;Black Pepper
Red Wine;Petite Syrah;Black Pepper
White Wine;Gewurztraminer;Black Pepper
